crop,state,time,maxTemp,minTemp,rainAmt
Wheat,NJ,1,39,24,3.5
Wheat,NJ,2,42,27,2.87
Wheat,NJ,3,51,34,4.17
Wheat,NJ,4,62,44,4.17
Wheat,NJ,5,72,53,4.06
Wheat,NJ,6,82,63,4.02
Wheat,NJ,7,86,69,4.72
Wheat,NJ,8,84,67,3.7
Wheat,NJ,9,77,60,3.82
Wheat,NJ,10,65,48,3.58
Wheat,NJ,11,55,39,3.62
Wheat,NJ,12,44,30,3.78
Rice,NJ,1,39,24,3.5
Rice,NJ,2,42,27,2.87
Rice,NJ,3,51,34,4.17
Rice,NJ,4,62,44,4.17
Rice,NJ,5,72,53,4.06
Rice,NJ,6,82,63,4.02
Rice,NJ,7,86,69,4.72
Rice,NJ,8,84,67,3.7
Rice,NJ,9,77,60,3.82
Rice,NJ,10,65,48,3.58
Rice,NJ,11,55,39,3.62
Rice,NJ,12,44,30,3.78
Corn,NJ,1,39,24,3.5
Corn,NJ,2,42,27,2.87
Corn,NJ,3,51,34,4.17
Corn,NJ,4,62,44,4.17
Corn,NJ,5,72,53,4.06
Corn,NJ,6,82,63,4.02
Corn,NJ,7,86,69,4.72
Corn,NJ,8,84,67,3.7
Corn,NJ,9,77,60,3.82
Corn,NJ,10,65,48,3.58
Corn,NJ,11,55,39,3.62
Corn,NJ,12,44,30,3.78
Tomatoes,NJ,1,39,24,3.5
Tomatoes,NJ,2,42,27,2.87
Tomatoes,NJ,3,51,34,4.17
Tomatoes,NJ,4,62,44,4.17
Tomatoes,NJ,5,72,53,4.06
Tomatoes,NJ,6,82,63,4.02
Tomatoes,NJ,7,86,69,4.72
Tomatoes,NJ,8,84,67,3.7
Tomatoes,NJ,9,77,60,3.82
Tomatoes,NJ,10,65,48,3.58
Tomatoes,NJ,11,55,39,3.62
Tomatoes,NJ,12,44,30,3.78
Lettuce,NJ,1,39,24,3.5
Lettuce,NJ,2,42,27,2.87
Lettuce,NJ,3,51,34,4.17
Lettuce,NJ,4,62,44,4.17
Lettuce,NJ,5,72,53,4.06
Lettuce,NJ,6,82,63,4.02
Lettuce,NJ,7,86,69,4.72
Lettuce,NJ,8,84,67,3.7
Lettuce,NJ,9,77,60,3.82
